zcta,name,city,county,state,median_hh_income,median_age,total_households,total_pop,male_pop,pop_25plus,bachelors,masters,professional,doctorate
89113,ZCTA5 89113,Las Vegas,Clark,NV,85504,37.2,14501,36979,19026,27521,7742,1961,761,465
89115,ZCTA5 89115,Las Vegas,Clark,NV,47189,28.0,19413,66461,32223,36778,2384,764,189,30
89117,ZCTA5 89117,Las Vegas,Clark,NV,68206,42.2,22814,55282,27211,41049,8631,3146,904,674
89118,ZCTA5 89118,Las Vegas,Clark,NV,65929,40.4,8982,23108,12622,17475,3274,984,153,97
89119,ZCTA5 89119,Las Vegas,Clark,NV,44939,35.0,22029,50985,25525,35290,4762,1326,332,419
89120,ZCTA5 89120,Las Vegas,Clark,NV,68934,37.3,9423,25204,13366,17844,3002,1086,302,197
89121,ZCTA5 89121,Las Vegas,Clark,NV,50757,38.7,24049,67537,34256,46146,5007,1667,571,241
89122,ZCTA5 89122,Las Vegas,Clark,NV,55216,37.9,19166,51567,25737,35504,4130,1144,453,149
89123,ZCTA5 89123,Las Vegas,Clark,NV,78195,42.0,23140,58882,29277,44055,10034,3138,746,639
89124,ZCTA5 89124,Las Vegas,Clark,NV,104830,54.5,315,778,498,614,135,30,61,9
89128,ZCTA5 89128,Las Vegas,Clark,NV,66534,38.7,15423,38500,19145,26972,5171,2048,576,355
89129,ZCTA5 89129,Las Vegas,Clark,NV,87620,39.9,20658,54002,27429,38450,8348,2833,906,352
89130,ZCTA5 89130,Las Vegas,Clark,NV,81584,41.5,12862,35334,17069,25196,2913,1592,410,121
89131,ZCTA5 89131,Las Vegas,Clark,NV,109956,40.2,17350,50384,25710,34463,7495,3137,608,360
89134,ZCTA5 89134,Las Vegas,Clark,NV,76500,64.5,11624,23619,10801,20017,5215,2291,756,486
89135,ZCTA5 89135,Las Vegas,Clark,NV,113377,46.7,13293,30876,15706,23292,6612,2902,1621,528
89138,ZCTA5 89138,Las Vegas,Clark,NV,157170,39.2,7804,21855,10638,14831,5314,2250,1134,621
89139,ZCTA5 89139,Las Vegas,Clark,NV,93003,35.0,13863,43702,22070,29557,6491,1978,434,287
89141,ZCTA5 89141,Zcta 89141,Clark,NV,105993,37.5,13352,39089,19245,26798,7892,2400,535,166
89142,ZCTA5 89142,Zcta 89142,Clark,NV,60245,32.6,10495,34098,16921,21321,1872,518,131,128
89143,ZCTA5 89143,Zcta 89143,Clark,NV,92575,32.1,4113,13220,6102,8073,1656,836,153,32
89144,ZCTA5 89144,Zcta 89144,Clark,NV,101000,46.4,7974,19608,9643,14400,3914,1501,961,381
89145,ZCTA5 89145,Zcta 89145,Clark,NV,67308,40.8,9868,26437,12682,18842,3319,1221,426,168
